Geography Type,Geography Name,Year, Population , Households ,Persons Per Household (PPH)
County,Traverse,2022,"  3,346 ","  1,421 ",2.27
County,Wabasha,2022,"  21,895 ","  9,083 ",2.38
County,Wadena,2022,"  14,119 ","  5,874 ",2.34
County,Waseca,2022,"  19,236 ","  7,432 ",2.46
County,Washington,2022,"  274,589 ","  103,142 ",2.63
County,Watonwan,2022,"  11,253 ","  4,442 ",2.50
County,Wilkin,2022,"  6,327 ","  2,662 ",2.34
County,Winona,2022,"  49,764 ","  20,087 ",2.30
County,Wright,2022,"  150,727 ","  53,328 ",2.81
County,Yellow Medicine,2022,"  9,159 ","  3,950 ",2.29
State,Minnesota,2021,"  5,742,036 ","  2,275,868 ",  2.47 
EDR,01 (Northwest),2021,"  83,359 ","  34,737 ",  2.34 
EDR,02 (Headwaters),2021,"  86,115 ","  34,304 ",  2.45 
EDR,03 (Arrowhead),2021,"  324,874 ","  139,756 ",  2.24 
EDR,04 (West Central),2021,"  237,136 ","  96,714 ",  2.39 
EDR,05 (North Central),2021,"  172,056 ","  70,963 ",  2.39 
EDR,06E (Southwest Central),2021,"  118,874 ","  47,612 ",  2.45 
EDR,06W (Upper MN Valley),2021,"  43,687 ","  18,354 ",  2.31 
EDR,07E (East Central),2021,"  171,381 ","  66,139 ",  2.54 
EDR,07W (Central),2021,"  444,377 ","  163,922 ",  2.65 
EDR,08 (Southwest),2021,"  116,927 ","  46,972 ",  2.44 
EDR,09 (South Central),2021,"  237,502 ","  95,231 ",  2.39 
EDR,10 (Southeast),2021,"  519,399 ","  206,360 ",  2.44 
EDR,11 (7 County Twin Cities),2021,"  3,186,349 ","  1,254,804 ",  2.49 
County,Aitkin,2021,"  16,002 ","  7,337 ",2.14
County,Anoka,2021,"  366,888 ","  135,371 ",2.69
County,Becker,2021,"  35,307 ","  14,413 ",2.42
County,Beltrami,2021,"  46,358 ","  17,870 ",2.50
County,Benton,2021,"  41,204 ","  16,397 ",2.47
County,Big Stone,2021,"  5,233 ","  2,252 ",2.23
County,Blue Earth,2021,"  69,264 ","  27,457 ",2.38
County,Brown,2021,"  25,790 ","  10,916 ",2.26
County,Carlton,2021,"  36,529 ","  13,995 ",2.46
County,Carver,2021,"  108,891 ","  39,636 ",2.72
County,Cass,2021,"  30,784 ","  12,914 ",2.36
County,Chippewa,2021,"  12,498 ","  5,108 ",2.37
County,Chisago,2021,"  57,291 ","  21,202 ",2.64
County,Clay,2021,"  65,512 ","  25,154 ",2.49
County,Clearwater,2021,"  8,616 ","  3,525 ",2.41
County,Cook,2021,"  5,629 ","  2,723 ",2.05
County,Cottonwood,2021,"  11,685 ","  4,742 ",2.39
County,Crow Wing,2021,"  67,887 ","  28,627 ",2.33
County,Dakota,2021,"  443,692 ","  170,008 ",2.59
County,Dodge,2021,"  20,959 ","  7,939 ",2.62
County,Douglas,2021,"  39,578 ","  16,807 ",2.31
County,Faribault,2021,"  13,765 ","  6,018 ",2.26
County,Fillmore,2021,"  21,405 ","  8,677 ",2.42
County,Freeborn,2021,"  30,647 ","  12,982 ",2.32
County,Goodhue,2021,"  47,819 ","  19,643 ",2.40
County,Grant,2021,"  6,152 ","  2,570 ",2.36
County,Hennepin,2021,"  1,289,645 ","  535,637 ",2.36
County,Houston,2021,"  18,832 ","  8,009 ",2.32
County,Hubbard,2021,"  21,909 ","  9,115 ",2.37
County,Isanti,2021,"  41,878 ","  15,901 ",2.61
County,Itasca,2021,"  45,193 ","  19,055 ",2.32
County,Jackson,2021,"  9,998 ","  4,311 ",2.30
County,Kanabec,2021,"  16,295 ","  6,640 ",2.41
County,Kandiyohi,2021,"  43,809 ","  17,116 ",2.50
County,Kittson,2021,"  4,157 ","  1,825 ",2.22
County,Koochiching,2021,"  11,946 ","  5,550 ",2.12
County,Lac qui Parle,2021,"  6,679 ","  2,935 ",2.23
County,Lake,2021,"  11,016 ","  4,921 ",2.19
County,Lake of the Woods,2021,"  3,828 ","  1,785 ",2.13
County,Le Sueur,2021,"  28,945 ","  11,400 ",2.51
County,Lincoln,2021,"  5,568 ","  2,420 ",2.25
County,Lyon,2021,"  25,184 ","  10,114 ",2.43
County,Mahnomen,2021,"  5,404 ","  2,009 ",2.66
County,Marshall,2021,"  9,012 ","  3,836 ",2.33
County,Martin,2021,"  19,896 ","  8,686 ",2.26
County,McLeod,2021,"  36,958 ","  15,081 ",2.41
County,Meeker,2021,"  23,499 ","  9,305 ",2.48
County,Mille Lacs,2021,"  26,809 ","  10,730 ",2.46
County,Morrison,2021,"  34,041 ","  13,701 ",2.45
County,Mower,2021,"  40,356 ","  15,812 ",2.51
County,Murray,2021,"  8,094 ","  3,543 ",2.26
County,Nicollet,2021,"  34,706 ","  12,863 ",2.45
County,Nobles,2021,"  22,145 ","  7,806 ",2.77
County,Norman,2021,"  6,386 ","  2,711 ",2.32
County,Olmsted,2021,"  164,196 ","  65,815 ",2.45
County,Otter Tail,2021,"  60,194 ","  25,173 ",2.34
County,Pennington,2021,"  13,757 ","  5,976 ",2.26
County,Pine,2021,"  29,108 ","  11,666 ",2.39
County,Pipestone,2021,"  9,278 ","  3,886 ",2.35
County,Polk,2021,"  30,835 ","  12,412 ",2.39
County,Pope,2021,"  11,396 ","  4,892 ",2.30
County,Ramsey,2021,"  553,229 ","  219,666 ",2.44
County,Red Lake,2021,"  3,944 ","  1,658 ",2.36
County,Redwood,2021,"  15,313 ","  6,269 ",2.40
County,Renville,2021,"  14,608 ","  6,110 ",2.34
County,Rice,2021,"  66,964 ","  23,510 ",2.56
County,Rock,2021,"  9,662 ","  3,881 ",2.43
County,Roseau,2021,"  15,268 ","  6,319 ",2.39
County,Scott,2021,"  153,199 ","  53,606 ",2.83
County,Sherburne,2021,"  98,924 ","  34,773 ",2.79
County,Sibley,2021,"  14,986 ","  6,048 ",2.43
County,St. Louis,2021,"  198,559 ","  86,175 ",2.21
County,Stearns,2021,"  159,301 ","  60,975 ",2.50
County,Steele,2021,"  37,559 ","  14,935 ",2.48
County,Stevens,2021,"  9,355 ","  3,627 ",2.43
County,Swift,2021,"  9,972 ","  4,117 ",2.33
County,Todd,2021,"  25,263 ","  9,899 ",2.52
County,Traverse,2021,"  3,305 ","  1,418 ",2.25
County,Wabasha,2021,"  21,645 ","  9,031 ",2.36
County,Wadena,2021,"  14,081 ","  5,822 ",2.36
County,Waseca,2021,"  18,985 ","  7,397 ",2.44
County,Washington,2021,"  270,805 ","  100,880 ",2.65
County,Watonwan,2021,"  11,165 ","  4,446 ",2.47
County,Wilkin,2021,"  6,337 ","  2,660 ",2.35
County,Winona,2021,"  49,017 ","  20,007 ",2.30
County,Wright,2021,"  144,948 ","  51,777 ",2.78
County,Yellow Medicine,2021,"  9,305 ","  3,942 ",2.33
State,Minnesota,2020,"  5,706,494 ","  2,253,990 ",N/A
EDR,01 (Northwest),2020,"  80,509 ","  33,197 ",N/A
EDR,02 (Headwaters),2020,"  116,630 ","  46,799 ",N/A
EDR,03 (Arrowhead),2020,"  325,716 ","  139,680 ",N/A
EDR,04 (West Central),2020,"  236,507 ","  96,255 ",N/A
EDR,05 (North Central),2020,"  169,526 ","  69,887 ",N/A
EDR,06E (Southwest Central),2020,"  101,880 ","  41,243 ",N/A
EDR,06W (Upper MN Valley),2020,"  43,849 ","  18,432 ",N/A
EDR,07E (East Central),2020,"  169,123 ","  65,080 ",N/A
EDR,07W (Central),2020,"  438,191 ","  161,471 ",N/A
EDR,08 (Southwest),2020,"  117,437 ","  47,157 ",N/A
EDR,09 (South Central),2020,"  226,170 ","  89,952 ",N/A
EDR,10 (Southeast),2020,"  517,852 ","  205,311 ",N/A
EDR,11 (7 County Twin Cities),2020,"  3,163,104 ","  1,239,526 ",N/A
County,Aitkin,2020,"  15,697 ","  7,199 ",N/A
County,Anoka,2020,"  363,887 ","  133,879 ",N/A
County,Becker,2020,"  35,183 ","  14,371 ",N/A
County,Beltrami,2020,"  46,228 ","  17,678 ",N/A
County,Benton,2020,"  41,379 ","  16,479 ",N/A
County,Big Stone,2020,"  5,166 ","  2,224 ",N/A
County,Blue Earth,2020,"  69,112 ","  27,193 ",N/A
County,Brown,2020,"  25,912 ","  10,970 ",N/A
County,Carlton,2020,"  36,207 ","  13,789 ",N/A
County,Carver,2020,"  106,922 ","  38,863 ",N/A
County,Cass,2020,"  30,066 ","  12,614 ",N/A
County,Chippewa,2020,"  12,598 ","  5,150 ",N/A
County,Chisago,2020,"  56,621 ","  20,900 ",N/A
County,Clay,2020,"  65,318 ","  24,931 ",N/A
County,Clearwater,2020,"  8,524 ","  3,487 ",N/A
County,Cook,2020,"  5,600 ","  2,711 ",N/A
County,Cottonwood,2020,"  11,517 ","  4,671 ",N/A
County,Crow Wing,2020,"  66,123 ","  27,872 ",N/A
County,Dakota,2020,"  439,882 ","  168,008 ",N/A
County,Dodge,2020,"  20,867 ","  7,903 ",N/A
County,Douglas,2020,"  39,006 ","  16,557 ",N/A
County,Faribault,2020,"  13,921 ","  6,086 ",N/A
County,Fillmore,2020,"  21,228 ","  8,605 ",N/A
County,Freeborn,2020,"  30,895 ","  13,076 ",N/A
County,Goodhue,2020,"  47,582 ","  19,499 ",N/A
County,Grant,2020,"  6,074 ","  2,540 ",N/A
County,Hennepin,2020,"  1,281,565 ","  528,547 ",N/A
County,Houston,2020,"  18,843 ","  8,013 ",N/A
County,Hubbard,2020,"  21,344 ","  8,885 ",N/A
County,Isanti,2020,"  41,135 ","  15,615 ",N/A
County,Itasca,2020,"  45,014 ","  18,968 ",N/A
County,Jackson,2020,"  9,989 ","  4,307 ",N/A
County,Kanabec,2020,"  16,032 ","  6,530 ",N/A
County,Kandiyohi,2020,"  43,732 ","  17,079 ",N/A
County,Kittson,2020,"  4,207 ","  1,846 ",N/A
County,Koochiching,2020,"  12,062 ","  5,604 ",N/A
County,Lac qui Parle,2020,"  6,719 ","  2,954 ",N/A
County,Lake,2020,"  10,905 ","  4,869 ",N/A
